sampling_round,collector,time,date,AM_PM,temperature,wind_max,wind_avg,cloud_cover,block,G,treatment,group,flower_genus,flower_species,notes,unique_ID,sex,group_edit,group_analysis,plot,pollinator_group
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8808,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8809,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8810,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8811,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8812,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8813,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8814,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8815,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8816,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8817,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8818,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8819,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8820,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8821,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8822,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8823,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8824,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8825,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8826,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8827,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8828,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8829,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8830,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8831,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8832,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8833,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8834,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8835,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8836,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8837,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8838,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8839,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8840,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8841,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8842,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8843,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8844,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8845,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8846,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8847,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8848,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8849,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8850,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8851,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8852,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8853,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8854,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8855,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8856,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8857,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8858,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8859,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8860,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8861,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8862,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8863,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8864,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8865,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8866,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8867,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8868,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8869,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8870,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8871,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8872,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8873,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8874,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8875,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8876,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8877,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8878,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8879,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8880,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8881,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8882,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8883,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8884,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8885,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8886,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8887,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8888,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8889,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8890,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8891,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8892,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8893,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8894,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8895,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8896,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8897,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8898,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8899,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8900,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8901,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8902,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8903,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8904,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8905,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8906,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8907,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8908,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8909,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8910,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8911,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8912,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8913,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8914,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8915,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8916,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8917,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8918,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8919,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8920,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8921,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8922,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8923,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8924,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8925,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8926,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8927,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8928,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8929,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8930,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8931,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8932,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8933,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8934,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8935,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8936,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8937,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_8938,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,Trifolium,pratense,,GLBRC_p_8989,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9008,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9009,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9010,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9011,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9012,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9013,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9014,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9015,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9016,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9017,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9018,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9019,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9020,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9021,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9022,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9023,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9024,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9025,,Apis mellifera,Apis,CH,Honeybee
3,SG,12:19,9/2/18,AM,26.7,9.4,5.4,95,3,8,poplar,Apis mellifera,grass leaved gr,,,GLBRC_p_9026,,Apis mellifera,Apis,CH,Honeybee
